item_id,name,quality,classs,subclass,slot,level,reqlevel,modes,count,outof,source_raw
240292,Honorforged Vambraces,2,4,4,9,13,10,1|2|23,55,6950,2
240293,Honorforged Stompers,2,4,4,8,13,10,1|2|23,1,51172,2
240294,Honorforged Wargreaves,2,4,4,7,13,10,1|2|23,80,6950,2
240295,Honorforged Greatbelt,2,4,4,6,13,10,1|2|23,1,51172,2
240296,Honorforged Chestpiece,2,4,4,5,13,10,1|2|23,69,6950,2
240297,Honorforged Mantle,2,4,4,3,13,10,1|2|23,2,51172,2
240298,Honorforged Greathelm,2,4,4,1,13,10,1|2|23,68,6950,2
240315,Grips of Skyfather's Chosen,2,4,3,10,13,10,1|2|23,2,51172,2
240316,Bracers of Skyfather's Chosen,2,4,3,9,13,10,1|2|23,2,51172,2
240317,Boots of Skyfather's Chosen,2,4,3,8,13,10,1|2|23,1,51172,2
240318,Leggings of Skyfather's Chosen,2,4,3,7,13,10,1|2|23,36,6950,2
240319,Cinch of Skyfather's Chosen,2,4,3,6,13,10,1|2|23,30,6950,2
240320,Chestguard of Skyfather's Chosen,2,4,3,5,13,10,1|2|23,37,6950,2
240321,Pinions of Skyfather's Chosen,2,4,3,3,13,10,1|2,35,6950,2
240322,Faceguard of Skyfather's Chosen,2,4,3,1,13,10,1|2|23,35,6950,2
240339,Gloves of Hungering Flesh,2,4,2,10,13,10,1|2|23,73,6950,2
240340,Cuffs of Hungering Flesh,2,4,2,9,13,10,1|2|23,83,6950,2
240341,Striders of Hungering Flesh,2,4,2,8,13,10,1|2|23,2,51172,2
240342,Legwraps of Hungering Flesh,2,4,2,7,13,10,1|2|23,99,6950,2
240343,Cinch of Hungering Flesh,2,4,2,6,13,10,1|2|23,2,51172,2
240344,Jerkin of Hungering Flesh,2,4,2,5,13,10,1|2|23,80,6950,2
240345,Shoulderguard of Hungering Flesh,2,4,2,3,13,10,1|2|23,82,6950,2
240346,Cap of Hungering Flesh,2,4,2,1,13,10,1|2|23,1,51172,2
240365,Gloves of Borrowed Souls,2,4,1,10,13,10,1|2|23,2,51172,2
240366,Armbands of Borrowed Souls,2,4,1,9,13,10,1|2|23,1,51172,2
240367,Slippers of Borrowed Souls,2,4,1,8,13,10,1|2|23,34,6950,2
240368,Pants of Borrowed Souls,2,4,1,7,13,10,1|2|23,1,51172,2
240369,Cinch of Borrowed Souls,2,4,1,6,13,10,1|2|23,43,6950,2
240370,Robe of Borrowed Souls,2,4,1,5,13,10,1|2,20,6950,2
240371,Raiment of Borrowed Souls,2,4,1,5,13,10,1|2|23,24,6950,2
240372,Shawl of Borrowed Souls,2,4,1,3,13,10,1|2|23,28,6950,2
240373,Cover of Borrowed Souls,2,4,1,1,13,10,1|2|23,43,6950,2
242501,Memento of Epoch Knowledge,2,0,8,0,1,,1|2|23,17,51172,2
242502,Memento of Epoch History,4,0,8,0,1,,1|2|23,48,51172,2
242503,Memento of Epoch Stories,3,0,8,0,1,,1|2|23,4,51172,2
242504,Memento of Epoch Truth,2,0,8,0,1,,1|2|23,19,51172,2
242505,Memento of Epoch Hope,2,0,8,0,1,,1|2|23,18,51172,2
242506,Memento of Epoch Rituals,3,0,8,0,1,,1|2|23,4,51172,2
242507,Memento of Epoch Power,3,0,8,0,1,,1|2|23,6,51172,2
242508,Memento of Epoch Potential,4,0,8,0,1,,1|2|23,49,51172,2
242509,Memento of Epoch Curiosity,1,0,8,0,1,,1|2,6,51172,2
242510,Memento of Epoch Kindness,1,0,8,0,1,,1|2,3,51172,2
242511,Memento of Epoch Nostalgia,1,0,8,0,1,,1|2,2,51172,2
242512,Memento of Epoch Creatures,1,0,8,0,1,,1|2,3,51172,2
242513,Memento of Epoch Collections,1,0,8,0,1,,1|2,3,51172,2
242514,Memento of Epoch Fun,1,0,8,0,1,,1|2,5,51172,2
242515,Memento of Epoch Strategies,1,0,8,0,1,,1|2,1,51172,2
242516,Memento of Epoch Legends,5,0,8,0,1,10,1|2|23,6,51172,2|4
245925,Artifactium Sand,6,15,1,0,1,,1|2,8,51172,2
245996,Chaos-Forged Necklace,2,4,-3,2,13,10,1|2|23,19,6950,2
245997,Seal of the Nazjatar Empire,2,4,-2,11,13,10,1|2|23,34,6950,2
245998,Ring of Mind Shielding,2,4,-2,11,13,10,1|2|23,1,51172,2
245999,Volatile Chaos Talisman,2,4,-4,12,13,,1|2,1,51172,2
246000,Lure of the Unknown Depths,2,4,-4,12,13,,1|2|23,2,51172,2
246190,Pendant of the Watchful Eye,2,4,-3,2,13,,1|2|23,34,6950,2
246191,Chain of the Underking,2,4,-3,2,13,,1|2|23,1,51172,2
246192,Understone Gorget,2,4,-3,2,13,,1|2|23,26,6950,2
246193,Strand of the Stars,2,4,-3,2,13,,1|2|23,28,6950,2
246194,Chain of Scorched Bones,2,4,-3,2,13,,1|2|23,1,51172,2
246195,Wolfstride Pendant,2,4,-3,2,13,,1|2|23,1,51172,2
246196,Erratically Ticking Talisman,2,4,-3,2,13,,1|2|23,24,6950,2
246197,Woe-Bearer's Band,2,4,-2,11,13,,1|2|23,46,6950,2
246198,Jeweled Signet of Melandrus,2,4,-2,11,13,,1|2|23,47,6950,2
246199,Band of Callous Dominance,2,4,-2,11,13,,1|2|23,1,51172,2
246200,Band of Twisted Bark,2,4,-2,11,13,,1|2|23,33,6950,2
246201,Signet of the Highborne Magi,2,4,-2,11,13,,1|2|23,24,6950,2
246202,Grasping Tentacle Loop,2,4,-2,11,13,,1|2|23,1,51172,2
246203,Chattering Soulmark,2,4,-4,12,13,,1|2|23,1,51172,2
246204,Arcane Medal of Protection,2,4,-4,12,13,,1|2|23,1,51172,2
246205,Stormwalker's Icon,2,4,-4,12,13,,1|2|23,1,51172,2
246206,Aethas's Orbs of Warding,2,4,-4,12,13,,1|2|23,1,51172,2
246207,Glimmering Soulbloom,2,4,-4,12,13,,1|2|23,36,6950,2
246208,Mote of Obscure Magics,2,4,-4,12,13,,1|2|23,28,6950,2
249891,Mound of Artifactium Sand,6,15,1,0,1,,1|2,49,6950,2
251562,Tome of Combat Training,2,0,1,0,1,,1|2,19,51172,2
253224,Mote of a Broken Time,3,15,4,0,1,,1|2|23,24,51172,2
253227,Flawless Thread of Time,3,15,4,0,1,,23,3,837,2
